state,parliament,dun
Sabah,P.187 Kinabatangan,N.58 Lamag
Sabah,P.187 Kinabatangan,N.59Sukau
Sabah,P.188 Lahad Datu,N.60 Tungku
Sabah,P.188 Lahad Datu,N.61 Segama
Sabah,P.188 Lahad Datu,N.62 Silam
Sabah,P.188 Lahad Datu,N.63 Kunak
Sabah,P.189 Semporna,N.64 Sulabayan
Sabah,P.189 Semporna,N.65 Senallang
Sabah,P.189 Semporna,N.66 Bugaya
Sabah,P.190 Tawau,N.67 Balung
Sabah,P.190 Tawau,N.68 Apas
Sabah,P.190 Tawau,N.69 Sri Tanjong
Sabah,P.191 Kalabakan,N.70 Kukusan
Sabah,P.191 Kalabakan,N.71 Tanjung Batu
Sabah,P.191 Kalabakan,N.72 Merotai
Sabah,P.191 Kalabakan,N.73 Sebatik
Sarawak,P.192 Mas Gading,N.01 Opar
Sarawak,P.192 Mas Gading,N.02 Tasik Biru
Sarawak,P.193 Santubong,N.03 Tanjong Datu
Sarawak,P.193 Santubong,N.04 Pantai Damai
Sarawak,P.193 Santubong,N.05 Demak Laut
Sarawak,P.194 Petra Jaya,N.06 Tupong
Sarawak,P.194 Petra Jaya,N.07 Samariang
Sarawak,P.194 Petra Jaya,N.08 Satok
Sarawak,P.195 Bandar Kuching,N.09 Padungan
Sarawak,P.195 Bandar Kuching,N.10 Pending
Sarawak,P.195 Bandar Kuching,N.11 Batu Lintang
Sarawak,P.196 Stampin,N.12 Kota Sentosa
Sarawak,P.196 Stampin,N.13 Batu Kitang
Sarawak,P.196 Stampin,N.14 Batu Kawah
Sarawak,P.197 Kota Samarahan,N.15 Asajaya
Sarawak,P.197 Kota Samarahan,N.16 Muara Tuang
Sarawak,P.197 Kota Samarahan,N.17 Stakan
Sarawak,P.198 Puncak Borneo,N.18 Serembu
Sarawak,P.198 Puncak Borneo,N.19 Mambong
Sarawak,P.198 Puncak Borneo,N.20 Tarat
Sarawak,P.199 Serian,N.21 Tebedu
Sarawak,P.199 Serian,N.22 Kedup
Sarawak,P.199 Serian,N.23 Bukit Semuja
Sarawak,P.200 Batang Sadong,N.25 Sadong Jaya
Sarawak,P.200 Batang Sadong,N.25 Simunjan
Sarawak,P.200 Batang Sadong,N.26 Gedong
Sarawak,P.201 Batang Lupar,N.27 Sebuyau
Sarawak,P.201 Batang Lupar,N.28 Lingga
Sarawak,P.201 Batang Lupar,N.29 Beting Maro
Sarawak,P.202 Sri Aman,N.30 Balai Ringin
Sarawak,P.202 Sri Aman,N.31 Bukit Begunan
Sarawak,P.202 Sri Aman,N.32 Simanggang
Sarawak,P.203 Lubok Antu,N.33 Engkilili
Sarawak,P.203 Lubok Antu,N.34 Batang Ai
Sarawak,P.204 Betong,N.35 Saribas
Sarawak,P.204 Betong,N.36 Layar
Sarawak,P.204 Betong,N.37 Bukit Saban
Sarawak,P.205 Saratok,N.38 Kalaka
Sarawak,P.205 Saratok,N.39 Krian
Sarawak,P.205 Saratok,N.40 Kabong
Sarawak,P.206 Tanjong Manis,N.41 Kuala Rajang
Sarawak,P.206 Tanjong Manis,N.42 Semop
Sarawak,P.207 Igan,N.43 Daro
Sarawak,P.207 Igan,N.44 Jemoreng
Sarawak,P.208 Sarikei,N.45 Repok
Sarawak,P.208 Sarikei,N.46 Meradong
Sarawak,P.209 Julau,N.47 Pakan
Sarawak,P.209 Julau,N.48 Meluan
Sarawak,P.210 Kanowit,N.49 Ngemah
Sarawak,P.210 Kanowit,N.50 Machan
Sarawak,P.211 Lanang,N.51 Bukit Assek
Sarawak,P.211 Lanang,N.52 Dudong
Sarawak,P.212 Sibu,N.53 Bawang Assan
Sarawak,P.212 Sibu,N.54 Pelawan
Sarawak,P.212 Sibu,N.55 Nangka
Sarawak,P.213 Mukah,N.56 Dalat
Sarawak,P.213 Mukah,N.57 Tellian
Sarawak,P.213 Mukah,N.58 Balingian
Sarawak,P.214 Selangau,N.59 Tamin
Sarawak,P.214 Selangau,N.60 Kakus
Sarawak,P.215 Kapit,N.61 Pelagus
Sarawak,P.215 Kapit,N.62 Katibas
Sarawak,P.215 Kapit,N.63 Bukit Goram
Sarawak,P.216 Hulu Rajang,N.64 Baleh
Sarawak,P.216 Hulu Rajang,N.65 Belaga
Sarawak,P.216 Hulu Rajang,N.66 Murum
Sarawak,P.217 Bintulu,N.67 Jepak
Sarawak,P.217 Bintulu,N.68 Tanjong Batu
Sarawak,P.217 Bintulu,N.69 Kemena
Sarawak,P.217 Bintulu,N.70 Samalaju
Sarawak,P.218 Sibuti,N.71 Bekenu
Sarawak,P.218 Sibuti,N.72 Lambir
Sarawak,P.219 Miri,N.73 Piasau
Sarawak,P.219 Miri,N.74 Pujut
Sarawak,P.219 Miri,N.75 Senadin
Sarawak,P.220 Baram,N.76 Marudi
Sarawak,P.220 Baram,N.77 Telang Usan
Sarawak,P.220 Baram,N.78 Mulu
Sarawak,P.221 Limbang,N.79 Bukit Kota
Sarawak,P.221 Limbang,N.80 Baru Danau
Sarawak,P.222 Lawas,N.81 Ba'kelalan
Sarawak,P.222 Lawas,N.82 Bukit Sari
